V1,pitcher,fs_count,fs_balls,fs_strikes,fs_swing,fs_fouls,fs_whiffs,fs_bips,fs_gbs,fs_lds,fs_fbs,fs_pus,fs_hrs,fs_perc_thrown,fs_velocity,fs_h_mvmt,fs_v_mvmt,fs_h_rel,fs_v_rel,cu_count,cu_balls,cu_strikes,cu_swing,cu_fouls,cu_whiffs,cu_bips,cu_gbs,cu_lds,cu_fbs,cu_pus,cu_hrs,cu_perc_thrown,cu_velocity,cu_h_mvmt,cu_v_mvmt,cu_h_rel,cu_v_rel,c_count,c_balls,c_strikes,c_swing,c_fouls,c_whiffs,c_bips,c_gbs,c_lds,c_fbs,c_pus,c_hrs,c_perc_thrown,c_velocity,c_h_mvmt,c_v_mvmt,c_h_rel,c_v_rel,cut_count,cut_balls,cut_strikes,cut_swing,cut_fouls,cut_whiffs,cut_bips,cut_gbs,cut_lds,cut_fbs,cut_pus,cut_hrs,cut_perc_thrown,cut_velocity,cut_h_mvmt,cut_v_mvmt,cut_h_rel,cut_v_rel,sink_count,sink_balls,sink_strikes,sink_swing,sink_fouls,sink_whiffs,sink_bips,sink_gbs,sink_lds,sink_fbs,sink_pus,sink_hrs,sink_perc_thrown,sink_velocity,sink_h_mvmt,sink_v_mvmt,sink_h_rel,sink_v_rel,slld_count,slld_balls,slld_strikes,slld_swing,slld_fouls,slld_whiffs,slld_bips,slld_gbs,slld_lds,slld_fbs,slld_pus,slld_hrs,slld_perc_thrown,slld_velocity,slld_h_mvmt,slld_v_mvmt,slld_h_rel,slld_v_rel,sc_count,sc_balls,sc_strikes,sc_swing,sc_fouls,sc_whiffs,sc_bips,sc_gbs,sc_lds,sc_fbs,sc_pus,sc_hrs,sc_perc_thrown,sc_velocity,sc_h_mvmt,sc_v_mvmt,sc_h_rel,sc_v_rel,split_count,split_balls,split_strikes,split_swing,split_fouls,split_whiffs,split_bips,split_gbs,split_lds,split_fbs,split_pus,split_hrs,split_perc_thrown,split_velocity,split_h_mvmt,split_v_mvmt,split_h_rel,split_v_rel,coors_games,coors_Hper9,coors_Rper9,coors_ERA,coors_BBper9,coors_Kper9,coors_HRper9,coors_UERper9,coors_Pper9,coors_Sper9,coors_GSper9,coors_vper9,coors_BFper9,coors_ABper9,coors_DBLper9,coors_TPLper9,coors_IBBper9,coors_HBPper9,coors_SHper9,coors_SFper9,coors_GDPper9,coors_SBper9,coors_CSper9,coors_POper9,coors_BKper9,coors_WPper9,career_C_Hper9,career_C_ERA,career_C_BBper9,career_C_Kper9,career_C_HRper9,Total_Whiffs,Total_fbs,Total_gbs,Total_hrs,Total_bips,Variance_ERA,Variance_Hper9,Variance_BBper9,Variance_Kper9,Variance_HRper9
1,anderbr04,4400,0.39,0.23,0.42,0.17,0.05,0.2,0.09,0.04,0.05,0.01,0.01,0.29,92.64,6.62,8.23,1.1,6.48,1493,0.36,0.27,0.45,0.13,0.09,0.24,0.12,0.06,0.04,0.02,0.01,0.1,83.98,8.48,5.14,1.42,6.58,1324,0.41,0.36,0.28,0.08,0.05,0.15,0.1,0.03,0.02,0,0.01,0.09,76.77,-2.97,-8.13,1.08,6.7,182,0.41,0.2,0.44,0.2,0.05,0.19,0.07,0.03,0.08,0.02,0.01,0.01,88.98,1.22,5.61,1.21,6.38,3384,0.37,0.24,0.43,0.15,0.06,0.23,0.15,0.05,0.03,0,0.01,0.22,91.05,8.84,5.39,1.3,6.51,4338,0.31,0.31,0.52,0.19,0.14,0.19,0.12,0.04,0.03,0.01,0,0.29,83.02,-1.68,-5.17,1.15,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.05,5.64,4.62,3.33,2.82,1.03,1.03,137.18,86.41,75.9,NA,40.51,36.41,3.08,0.77,1.03,0.26,0.51,0,2.05,0.26,0,0,0,0,9.73,4.1,2.39,6.51,0.86,0.082007142,0.036533298,0.115631241,0.007131142,0.203296078,0.52,2.32,0.94,-3.69,0.17
2,anderch01,5087,0.34,0.26,0.48,0.23,0.1,0.16,0.05,0.05,0.05,0.02,0.01,0.38,92.78,-4.09,10,-1.34,6.14,2817,0.34,0.3,0.52,0.16,0.18,0.19,0.07,0.05,0.05,0.02,0.01,0.21,82.67,-9.7,6.99,-1.49,6.04,2115,0.45,0.3,0.34,0.1,0.1,0.14,0.08,0.03,0.02,0.01,0.01,0.16,77.72,4.02,-6.85,-1.38,6.12,934,0.42,0.21,0.44,0.2,0.08,0.16,0.06,0.04,0.04,0.02,0.01,0.07,89.77,1.25,6.75,-1.57,6.08,2424,0.33,0.24,0.47,0.2,0.05,0.22,0.1,0.06,0.05,0.01,0.01,0.18,92.25,-7.51,7.9,-1.39,6.1,17,0.47,0.06,0.47,0.24,0,0.24,0.18,0.06,0,0,0,0,88.04,2.97,3.42,-0.85,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.07,6.79,6.79,3.57,7.14,1.79,0,146.79,99.64,74.64,NA,41.43,35.71,2.5,0.36,0.36,0.71,0.36,1.07,0.36,0.36,0.36,0,0,0,8.47,3.9,2.9,7.5,1.33,0.10625504,0.044502016,0.068854711,0.009987308,0.174111542,2.89,2.6,0.67,-0.36,0.46
3,anderty01,2797,0.31,0.29,0.48,0.22,0.08,0.18,0.07,0.05,0.05,0.01,0.01,0.41,92.29,5.24,10.11,1.74,6.33,1792,0.36,0.3,0.53,0.16,0.19,0.18,0.09,0.04,0.04,0.01,0.01,0.26,82.22,6.8,6.71,1.78,6.4,171,0.43,0.36,0.29,0.11,0.08,0.11,0.04,0.02,0.02,0.02,0,0.03,74.89,-1.68,-4.9,1.81,6.38,1791,0.34,0.27,0.5,0.2,0.13,0.18,0.08,0.04,0.04,0.01,0.01,0.26,87.88,-0.37,6.03,2.22,6.04,282,0.39,0.22,0.44,0.17,0.06,0.21,0.08,0.07,0.04,0.02,0.02,0.04,91.39,8.16,7.52,2.2,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9.57,4.58,4.34,2.82,8.51,1.35,0.25,147.27,97.81,81.7,NA,38.86,35.14,1.88,0.2,0.12,0.16,0.41,0.29,0.94,0.53,0.16,0.37,0.33,0.33,8.9,4.31,2.7,8.23,1.39,0.121128348,0.043592858,0.077528172,0.010162447,0.179486316,0.03,0.67,0.12,0.28,-0.04
4,arroybr01,4702,0.4,0.22,0.43,0.18,0.05,0.19,0.06,0.04,0.06,0.02,0.01,0.2,88.37,-4.11,8.87,-2.05,6.55,4355,0.32,0.28,0.46,0.15,0.07,0.24,0.11,0.05,0.06,0.02,0.01,0.19,79.82,-5.76,4.25,-2.52,6.32,7860,0.31,0.36,0.43,0.15,0.11,0.18,0.06,0.04,0.06,0.02,0.01,0.34,73.83,8.26,0.98,-2.73,5.9,601,0.37,0.16,0.52,0.22,0.06,0.25,0.11,0.05,0.06,0.02,0.01,0.03,85.6,-0.88,5.18,-2.53,6.2,5676,0.36,0.22,0.45,0.17,0.05,0.24,0.14,0.05,0.04,0.01,0.01,0.24,88.05,-7.58,5.18,-2.22,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13.42,8.18,8.18,2.62,5.56,2.95,0,157.42,103.75,74.29,NA,43.53,40.58,3.27,0.33,0.33,0,0,0.33,0.65,1.31,0.33,0,0,0,9.28,4.29,2.45,5.82,1.28,0.074347245,0.055105631,0.090261274,0.01,0.209790032,3.89,4.14,0.17,-0.26,1.67
5,bergmch01,1435,0.32,0.29,0.45,0.21,0.07,0.17,0.05,0.05,0.05,0.02,0.01,0.38,89.89,-7.02,7.59,-2.38,5.71,638,0.33,0.2,0.58,0.19,0.12,0.28,0.13,0.07,0.06,0.02,0.02,0.17,81.7,-7.83,3.9,-2.2,5.94,337,0.39,0.25,0.45,0.14,0.08,0.22,0.1,0.07,0.05,0,0.02,0.09,77.66,3.18,-3.79,-2.32,5.72,905,0.3,0.24,0.52,0.22,0.08,0.23,0.08,0.07,0.07,0.01,0.01,0.24,85.93,0.39,5.32,-2.31,5.86,452,0.38,0.25,0.41,0.15,0.04,0.23,0.1,0.07,0.05,0.01,0,0.12,88.85,-8.25,4.46,-2.47,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14.92,8.16,8.16,1.87,4.43,1.87,0,150.16,100.96,65.05,NA,44.53,41.5,3.96,0.93,0.23,0.23,0.7,0.23,0.47,0.7,0,0.23,0,0,11.31,5.64,2.06,5.47,1.68,0.078165649,0.05649854,0.081229095,0.011388373,0.214717282,2.52,3.61,-0.19,-1.04,0.19
6,bettich01,4703,0.36,0.26,0.41,0.16,0.05,0.2,0.1,0.05,0.04,0.01,0.01,0.47,92.56,-2.11,7.4,-2.19,6.04,1870,0.36,0.25,0.55,0.18,0.16,0.21,0.14,0.04,0.02,0,0.01,0.19,86.61,-5.48,2.16,-2.12,5.95,1189,0.41,0.32,0.41,0.11,0.15,0.16,0.05,0.05,0.05,0.01,0.01,0.12,75.72,5.98,-2.68,-2.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0.44,0.2,0.42,0.18,0.06,0.18,0.1,0.05,0.02,0,0,0.07,92.13,-6.77,5,-2.49,6.02,1568,0.37,0.27,0.48,0.15,0.13,0.2,0.11,0.05,0.03,0.01,0.01,0.16,87.15,2.1,2.77,-2.24,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11.06,5.85,5.63,2.79,6.81,1.22,0.23,149.2,94.48,75.96,NA,41.14,36.81,2.72,0.19,0.27,0.42,0.88,0.23,0.8,0.27,0.19,0,0.34,0.34,9.99,5.03,3.18,6.54,1.16,0.095670433,0.034539546,0.10310269,0.009329067,0.195772423,0.6,1.07,-0.39,0.27,0.06
7,billich01,7707,0.36,0.29,0.41,0.18,0.08,0.16,0.07,0.03,0.05,0.01,0,0.42,92.58,-1.84,8.6,-2.25,5.86,632,0.45,0.21,0.39,0.14,0.05,0.2,0.09,0.05,0.05,0,0.01,0.03,85.66,-7.64,4.13,-2.54,5.69,2961,0.41,0.32,0.44,0.13,0.17,0.14,0.07,0.03,0.03,0.01,0,0.16,78.78,6.52,-7.2,-2.24,5.8,3364,0.33,0.26,0.54,0.2,0.14,0.2,0.09,0.03,0.06,0.02,0,0.18,88.65,1.64,3.69,-2.54,5.6,2799,0.38,0.25,0.39,0.15,0.04,0.21,0.1,0.04,0.05,0.01,0,0.15,91.36,-7.07,6.38,-2.46,5.7,479,0.34,0.3,0.55,0.15,0.2,0.21,0.08,0.05,0.06,0.02,0.01,0.03,84.94,3.37,-0.41,-2.57,5.69,289,0.5,0.22,0.35,0.1,0.08,0.17,0.07,0.05,0.04,0.01,0,0.02,68.54,5.56,-9.72,-2.25,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.25,7.16,6.82,5.8,5.45,2.05,0.34,161.59,95.8,67.16,NA,44.32,36.82,2.05,0.34,1.02,0.34,1.02,0.34,0.68,0.68,0.34,0,0.68,0.68,8.64,3.73,3.71,7.82,0.68,0.101660359,0.048701113,0.079252372,0.000609402,0.174667873,3.09,2.61,2.09,-2.37,1.37
8,buehlwa01,2108,0.31,0.33,0.48,0.22,0.13,0.14,0.05,0.03,0.04,0.01,0.01,0.49,97.04,-2.36,10.15,-1,6.01,94,0.43,0.13,0.5,0.16,0.05,0.29,0.15,0.07,0.05,0.01,0.01,0.02,90.76,-6.9,5.52,-1.29,5.9,598,0.42,0.31,0.41,0.14,0.14,0.13,0.08,0.03,0.01,0,0,0.14,81.2,5.24,-9.12,-1.02,5.98,545,0.28,0.28,0.55,0.23,0.12,0.21,0.1,0.06,0.05,0.01,0,0.13,92.56,3.53,4.63,-1.24,5.87,513,0.31,0.27,0.49,0.24,0.08,0.18,0.1,0.04,0.04,0.01,0,0.12,96.7,-7.08,8,-1.3,5.86,473,0.31,0.29,0.58,0.18,0.17,0.23,0.12,0.04,0.05,0.02,0.01,0.11,86.84,5.88,-0.53,-1.28,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.85,5.11,5.11,2.87,7.34,0.96,0,146.17,96.38,74.68,NA,39.26,35.74,2.55,0.64,0,0.32,0,0.32,1.28,0,0,0,0.32,0.32,6.53,2.96,2.77,10.05,0.86,0.12683214,0.038425306,0.076171785,0.006176403,0.16525052,2.15,4.32,0.1,-2.71,0.1
9,bumgama01,13425,0.33,0.3,0.46,0.2,0.1,0.17,0.06,0.04,0.05,0.02,0.01,0.46,92.26,5.67,8.84,3.18,5.84,1834,0.41,0.22,0.43,0.14,0.07,0.22,0.12,0.05,0.05,0.01,0.01,0.06,84.51,8.34,4.5,3.2,5.78,4050,0.4,0.32,0.44,0.13,0.16,0.15,0.08,0.04,0.03,0.01,0,0.14,77.29,-5.42,-4.02,3.12,5.78,9845,0.29,0.29,0.54,0.22,0.13,0.2,0.1,0.05,0.04,0.01,0.01,0.34,87.78,-0.17,4.17,3.2,5.79,2,0,0,1,0.5,0,0.5,0,0.5,0,0,0,0,88.71,6.37,3.84,3.05,5.72,43,0.3,0.23,0.58,0.26,0.12,0.21,0.12,0.02,0.05,0.02,0,0,78.24,-2.7,1.19,3.85,5.65,67,0.42,0.25,0.49,0.16,0.16,0.16,0.09,0.01,0.06,0,0.03,0,70.25,-6.11,-4.54,3.19,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11.05,5.05,4.38,2.19,7.33,1.24,0.67,152.86,100.95,73.43,NA,40.38,37.33,1.33,0.48,0.1,0.38,0.29,0.19,1.24,0.76,0.1,0,0,0,7.88,3.04,2.12,8.76,0.89,0.116674981,0.043887788,0.080136336,0.008646552,0.180515957,1.34,3.17,0.07,-1.43,0.35
10,butleed01,1685,0.35,0.24,0.46,0.21,0.06,0.19,0.08,0.05,0.05,0.01,0.01,0.37,94.03,-5.29,9.11,-1.83,6.25,529,0.44,0.16,0.47,0.15,0.08,0.24,0.13,0.07,0.03,0.01,0.02,0.11,87.97,-7.93,4.37,-2.04,6.13,410,0.45,0.26,0.38,0.13,0.1,0.16,0.08,0.05,0.02,0.01,0.01,0.09,82.04,2.33,-2.81,-1.9,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0.35,0.21,0.47,0.2,0.05,0.23,0.13,0.06,0.03,0.01,0.01,0.27,93.7,-8.01,6.6,-1.99,6.18,724,0.39,0.28,0.46,0.12,0.14,0.19,0.1,0.05,0.04,0.01,0.01,0.16,88.52,1.17,1.58,-2.29,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14.28,8.65,8.22,3.75,5.05,2.02,0.43,157.21,95.48,63.61,NA,44.13,38.94,3.17,0.58,0.58,0.29,0.87,0.29,1.3,0.87,0.29,0,0,0,11.03,5.84,4.02,5.26,1.48,0.075690104,0.037994792,0.102554253,0.011148003,0.204008247,2.38,3.25,-0.27,-0.21,0.54
