"","C_IP","C_H","C_HR","C_BB","C_SO","C_ER","ID","C_Hper9","C_ERA","C_BBper9","C_Kper9","C_HRper9"
"1",818,884,78,217,592,373,"anderbr04",9.72616136919315,4.1039119804401,2.38753056234719,6.51344743276284,0.858190709046455
"2",716,674,106,231,597,310,"anderch01",8.47206703910615,3.89664804469274,2.9036312849162,7.50418994413408,1.33240223463687
"3",376,372,58,113,344,180,"anderty01",8.90425531914894,4.30851063829787,2.70478723404255,8.23404255319149,1.38829787234043
"4",2431,2507,347,661,1571,1158,"arroybr01",9.2813656931304,4.28712464006582,2.44714109419992,5.81612505141917,1.28465651995064
"5",214,269,40,49,130,134,"bergmch01",11.3130841121495,5.63551401869159,2.0607476635514,5.46728971962617,1.68224299065421
"6",535,594,69,189,389,299,"bettich01",9.99252336448598,5.02990654205608,3.17943925233645,6.54392523364486,1.1607476635514
"7",1210,1162,92,499,1052,501,"billich01",8.64297520661157,3.72644628099174,3.71157024793388,7.82479338842975,0.684297520661157
"8",146,106,14,45,163,48,"buehlwa01",6.53424657534247,2.95890410958904,2.77397260273973,10.0479452054795,0.863013698630137
"9",1635,1431,162,385,1591,552,"bumgama01",7.87706422018349,3.03853211009174,2.11926605504587,8.75779816513761,0.891743119266055
"10",262,321,43,117,153,170,"butleed01",11.0267175572519,5.83969465648855,4.01908396946565,5.2557251908397,1.47709923664122
"11",1339,1278,138,548,1007,609,"cahiltr01",8.5899925317401,4.09335324869305,3.68334578043316,6.76848394324122,0.92755787901419
"12",2080,1849,211,712,1694,853,"cainma01",8.00048076923077,3.69086538461538,3.08076923076923,7.32980769230769,0.912980769230769
"13",1042,1036,111,384,793,467,"cashnan01",8.94817658349328,4.03358925143954,3.31669865642994,6.84932821497121,0.95873320537428
"14",1212,1106,115,488,963,522,"chacijh01",8.21287128712871,3.87623762376238,3.62376237623762,7.1509900990099,0.853960396039604
"15",749,754,76,395,523,371,"chatwty01",9.06008010680908,4.45794392523364,4.74632843791722,6.28437917222964,0.913217623497997
